# Copyright (C) 2024  Intel Corporation. All rights reserved.,,,,,,,,,,,
# Your use of Intel Corporation's design tools, logic functions ,,,,,,,,,,
# and other software and tools, and any partner logic ,,,,,,,,,,
# functions, and any output files from any of the foregoing ,,,,,,,,,,
# (including device programming or simulation files), and any ,,,,,,,,,,
# associated documentation or information are expressly subject ,,,,,,,,,,,
# to the terms and conditions of the Intel Program License ,,,,,,,,,,,
# Subscription Agreement, the Intel Quartus Prime License Agreement,,,,,,,,,,
# the Intel FPGA IP License Agreement, or other applicable license,,,,,,,,,,
# agreement, including, without limitation, that your use is for,,,,,,,,
# the sole purpose of programming logic devices manufactured by,,,,,,,,,,,
# Intel and sold by Intel or its authorized distributors.  Please,,,,,,,,,,,
# refer to the applicable agreement for further details, at,,,,,,,,,,
# https://fpgasoftware.intel.com/eula.,,,,,,,,,,,
,,,,,,,,,,,
# Quartus Prime Version 23.1std.1 Build 993 05/14/2024 SC Lite Edition,,,,,,,,,,,
# File: C:\intelFPGA_lite\Internship\SRAM_LCD_FPGA\SRAM_LCD_FPGA.csv,,,,,,,,,,,
# Generated on: Thu Sep  5 18:06:52 2024,,,,,,,,,,,
,,,,,,,,,,,
# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.,,,,,,,,,,,
,,,,,,,,,,,
To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
dio_sram[12],Bidir,PIN_AH4,,,PIN_A25,,,,,,
dio_sram[11],Bidir,PIN_AF6,,,PIN_AD18,,,,,,
dio_sram[10],Bidir,PIN_AG6,,,PIN_AC2,,,,,,
dio_sram[9],Bidir,PIN_AH6,,,PIN_AF5,,,,,,
dio_sram[8],Bidir,PIN_AF7,,,PIN_A10,,,,,,
dio_sram[7],Bidir,PIN_AD1,,,PIN_V22,,,,,,
dio_sram[6],Bidir,PIN_AD2,,,PIN_V27,,,,,,
dio_sram[5],Bidir,PIN_AE2,,,PIN_V28,,,,,,
dio_sram[4],Bidir,PIN_AE1,,,PIN_V24,,,,,,
dio_sram[3],Bidir,PIN_AE3,,,PIN_V25,,,,,,
dio_sram[2],Bidir,PIN_AE4,,,PIN_U22,,,,,,
dio_sram[1],Bidir,PIN_AF3,,,PIN_V26,,,,,,
dio_sram[0],Bidir,PIN_AG3,,,PIN_V23,,,,,,
en_lcd,Output,,,,PIN_R26,,,,,,
lb_n_sram,Output,PIN_AD4,,,PIN_AA16,,,,,,
oe_n_sram,Output,PIN_AD5,,,PIN_U25,,,,,,
pon_lcd,Output,,,,PIN_AD8,,,,,,
psw[3],Input,PIN_M23,6,B6_N2,PIN_M23,2.5 V,,,,,
psw[2],Input,PIN_M21,6,B6_N1,PIN_M21,2.5 V,,,,,
psw[1],Input,PIN_N21,6,B6_N2,PIN_N21,2.5 V,,,,,
psw[0],Input,PIN_R24,5,B5_N0,PIN_R24,2.5 V,,,,,
rs_lcd,Output,,,,PIN_R25,,,,,,
rw_lcd,Output,,,,PIN_AE11,,,,,,
segoutR[13],Output,PIN_U24,5,B5_N0,PIN_U24,2.5 V,,,,,
segoutR[12],Output,PIN_U23,5,B5_N1,PIN_U23,2.5 V,,,,,
segoutR[11],Output,PIN_W25,5,B5_N1,PIN_W25,2.5 V,,,,,
segoutR[10],Output,PIN_W22,5,B5_N0,PIN_W22,2.5 V,,,,,
segoutR[9],Output,PIN_W21,5,B5_N1,PIN_W21,2.5 V,,,,,
segoutR[8],Output,PIN_Y22,5,B5_N0,PIN_Y22,2.5 V,,,,,
segoutR[7],Output,PIN_M24,6,B6_N2,PIN_M24,2.5 V,,,,,
segoutR[6],Output,PIN_H22,6,B6_N0,PIN_H22,2.5 V,,,,,
segoutR[5],Output,PIN_J22,6,B6_N0,PIN_J22,2.5 V,,,,,
segoutR[4],Output,PIN_L25,6,B6_N1,PIN_L25,2.5 V,,,,,
segoutR[3],Output,PIN_L26,6,B6_N1,PIN_L26,2.5 V,,,,,
segoutR[2],Output,PIN_E17,7,B7_N2,PIN_E17,2.5 V,,,,,
segoutR[1],Output,PIN_F22,7,B7_N0,PIN_F22,2.5 V,,,,,
segoutR[0],Output,PIN_G18,7,B7_N2,PIN_G18,2.5 V,,,,,
tsw[17],Input,PIN_Y23,5,B5_N2,PIN_Y23,2.5 V,,,,,
tsw[16],Input,PIN_Y24,5,B5_N2,PIN_Y24,2.5 V,,,,,
tsw[15],Input,PIN_AA22,5,B5_N2,PIN_AA22,2.5 V,,,,,
tsw[14],Input,PIN_AA23,5,B5_N2,PIN_AA23,2.5 V,,,,,
tsw[13],Input,PIN_AA24,5,B5_N2,PIN_AA24,2.5 V,,,,,
tsw[12],Input,PIN_AB23,5,B5_N2,PIN_AB23,2.5 V,,,,,
tsw[11],Input,PIN_AB24,5,B5_N2,PIN_AB24,2.5 V,,,,,
tsw[10],Input,PIN_AC24,5,B5_N2,PIN_AC24,2.5 V,,,,,
tsw[9],Input,PIN_AB25,5,B5_N1,PIN_AB25,2.5 V,,,,,
tsw[8],Input,PIN_AC25,5,B5_N2,PIN_AC25,2.5 V,,,,,
tsw[7],Input,PIN_AB26,5,B5_N1,PIN_AB26,2.5 V,,,,,
tsw[6],Input,PIN_AD26,5,B5_N2,PIN_AD26,2.5 V,,,,,
tsw[5],Input,PIN_AC26,5,B5_N2,PIN_AC26,2.5 V,,,,,
tsw[4],Input,PIN_AB27,5,B5_N1,PIN_AB27,2.5 V,,,,,
tsw[3],Input,PIN_AD27,5,B5_N2,PIN_AD27,2.5 V,,,,,
tsw[2],Input,PIN_AC27,5,B5_N2,PIN_AC27,2.5 V,,,,,
tsw[1],Input,PIN_AC28,5,B5_N2,PIN_AC28,2.5 V,,,,,
tsw[0],Input,PIN_AB28,5,B5_N1,PIN_AB28,2.5 V,,,,,
ub_n_sram,Output,PIN_AC4,,,PIN_G17,,,,,,
we_n_sram,Output,PIN_AE8,,,PIN_V21,,,,,,
ad[19],Unknown,,2,B2_N1,,,,,,,
ad[18],Unknown,,3,B3_N2,,,,,,,
ad[17],Unknown,,3,B3_N2,,,,,,,
ad[16],Unknown,,3,B3_N0,,,,,,,
ad[15],Unknown,,3,B3_N1,,,,,,,
ad[14],Unknown,,2,B2_N1,,,,,,,
ad[13],Unknown,,2,B2_N1,,,,,,,
ad[12],Unknown,,2,B2_N2,,,,,,,
ad[11],Unknown,,2,B2_N1,,,,,,,
ad[10],Unknown,,2,B2_N2,,,,,,,
ad[9],Unknown,,2,B2_N0,,,,,,,
ad[8],Unknown,,3,B3_N2,,,,,,,
ad[7],Unknown,,2,B2_N2,,,,,,,
ad[6],Unknown,,2,B2_N2,,,,,,,
ad[5],Unknown,,3,B3_N2,,,,,,,
ad[4],Unknown,,2,B2_N2,,,,,,,
ad[3],Unknown,,3,B3_N2,,,,,,,
ad[2],Unknown,,3,B3_N1,,,,,,,
ad[1],Unknown,,3,B3_N2,,,,,,,
ad[0],Unknown,,3,B3_N1,,,,,,,
ce_n,Unknown,,3,B3_N1,,,,,,,
dio[15],Unknown,,3,B3_N2,,,,,,,
dio[14],Unknown,,3,B3_N2,,,,,,,
dio[13],Unknown,,3,B3_N2,,,,,,,
dio[12],Unknown,,3,B3_N2,,,,,,,
dio[11],Unknown,,3,B3_N2,,,,,,,
dio[10],Unknown,,3,B3_N2,,,,,,,
dio[9],Unknown,,3,B3_N2,,,,,,,
dio[8],Unknown,,3,B3_N1,,,,,,,
dio[7],Unknown,,2,B2_N1,,,,,,,
dio[6],Unknown,,2,B2_N1,,,,,,,
dio[5],Unknown,,2,B2_N1,,,,,,,
dio[4],Unknown,,2,B2_N1,,,,,,,
dio[3],Unknown,,2,B2_N2,,,,,,,
dio[2],Unknown,,3,B3_N2,,,,,,,
dio[1],Unknown,,3,B3_N2,,,,,,,
dio[0],Unknown,,3,B3_N2,,,,,,,
lb_n,Unknown,,3,B3_N2,,,,,,,
oe_n,Unknown,,3,B3_N2,,,,,,,
ub_n,Unknown,,2,B2_N2,,,,,,,
we_n,Unknown,,3,B3_N1,,,,,,,
segoutR[14],Unknown,PIN_AA25,5,B5_N1,,,,,,,
segoutR[15],Unknown,PIN_AA26,5,B5_N1,,,,,,,
segoutR[16],Unknown,PIN_Y25,5,B5_N1,,,,,,,
segoutR[17],Unknown,PIN_W26,5,B5_N1,,,,,,,
segoutR[18],Unknown,PIN_Y26,5,B5_N1,,,,,,,
segoutR[19],Unknown,PIN_W27,5,B5_N1,,,,,,,
segoutR[20],Unknown,PIN_W28,5,B5_N1,,,,,,,
segoutR[21],Unknown,PIN_V21,5,B5_N1,,,,,,,
segoutR[22],Unknown,PIN_U21,5,B5_N0,,,,,,,
segoutR[23],Unknown,PIN_AB20,4,B4_N0,,,,,,,
segoutR[24],Unknown,PIN_AA21,4,B4_N0,,,,,,,
segoutR[25],Unknown,PIN_AD24,4,B4_N0,,,,,,,
segoutR[26],Unknown,PIN_AF23,4,B4_N0,,,,,,,
segoutR[27],Unknown,PIN_Y19,4,B4_N0,,,,,,,
segoutM[0],Unknown,PIN_AB19,4,B4_N0,,,,,,,
segoutM[1],Unknown,PIN_AA19,4,B4_N0,,,,,,,
segoutM[2],Unknown,PIN_AG21,4,B4_N2,,,,,,,
segoutM[3],Unknown,PIN_AH21,4,B4_N2,,,,,,,
segoutM[4],Unknown,PIN_AE19,4,B4_N1,,,,,,,
segoutM[5],Unknown,PIN_AF19,4,B4_N1,,,,,,,
segoutM[6],Unknown,PIN_AE18,4,B4_N2,,,,,,,
segoutM[7],Unknown,PIN_AD18,4,B4_N1,,,,,,,
segoutM[8],Unknown,PIN_AC18,4,B4_N1,,,,,,,
segoutM[9],Unknown,PIN_AB18,4,B4_N0,,,,,,,
segoutM[10],Unknown,PIN_AH19,4,B4_N2,,,,,,,
segoutM[11],Unknown,PIN_AG19,4,B4_N2,,,,,,,
segoutM[12],Unknown,PIN_AF18,4,B4_N1,,,,,,,
segoutM[13],Unknown,PIN_AH18,4,B4_N2,,,,,,,
segoutL[0],Unknown,PIN_AA17,4,B4_N1,,,,,,,
segoutL[1],Unknown,PIN_AB16,4,B4_N2,,,,,,,
segoutL[2],Unknown,PIN_AA16,4,B4_N2,,,,,,,
segoutL[3],Unknown,PIN_AB17,4,B4_N1,,,,,,,
segoutL[4],Unknown,PIN_AB15,4,B4_N2,,,,,,,
segoutL[5],Unknown,PIN_AA15,4,B4_N2,,,,,,,
segoutL[6],Unknown,PIN_AC17,4,B4_N2,,,,,,,
segoutL[7],Unknown,PIN_AD17,4,B4_N2,,,,,,,
segoutL[8],Unknown,PIN_AE17,4,B4_N2,,,,,,,
segoutL[9],Unknown,PIN_AG17,4,B4_N2,,,,,,,
segoutL[10],Unknown,PIN_AH17,4,B4_N2,,,,,,,
segoutL[11],Unknown,PIN_AF17,4,B4_N2,,,,,,,
segoutL[12],Unknown,PIN_AG18,4,B4_N2,,,,,,,
segoutL[13],Unknown,PIN_AA14,3,B3_N0,,,,,,,
en_l,Unknown,PIN_L4,1,B1_N1,,,,,,,
pon_l,Unknown,PIN_L5,1,B1_N1,,,,,,,
rs_l,Unknown,PIN_M2,1,B1_N2,,,,,,,
rw_l,Unknown,PIN_M1,1,B1_N2,,,,,,,
