# Copyright (C) 2024  Intel Corporation. All rights reserved.,,,,,,,,,,,
# Your use of Intel Corporation's design tools, logic functions ,,,,,,,,,,
# and other software and tools, and any partner logic ,,,,,,,,,,
# functions, and any output files from any of the foregoing ,,,,,,,,,,
# (including device programming or simulation files), and any ,,,,,,,,,,
# associated documentation or information are expressly subject ,,,,,,,,,,,
# to the terms and conditions of the Intel Program License ,,,,,,,,,,,
# Subscription Agreement, the Intel Quartus Prime License Agreement,,,,,,,,,,
# the Intel FPGA IP License Agreement, or other applicable license,,,,,,,,,,
# agreement, including, without limitation, that your use is for,,,,,,,,
# the sole purpose of programming logic devices manufactured by,,,,,,,,,,,
# Intel and sold by Intel or its authorized distributors.  Please,,,,,,,,,,,
# refer to the applicable agreement for further details, at,,,,,,,,,,
# https://fpgasoftware.intel.com/eula.,,,,,,,,,,,
,,,,,,,,,,,
# Quartus Prime Version 23.1std.1 Build 993 05/14/2024 SC Lite Edition,,,,,,,,,,,
# File: C:\intelFPGA_lite\Internship\SRAM_FPGA\PinAssign.csv,,,,,,,,,,,
# Generated on: Thu Aug 29 09:58:16 2024,,,,,,,,,,,
,,,,,,,,,,,
# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.,,,,,,,,,,,
,,,,,,,,,,,
To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
segout[0],Output,PIN_G18,,,PIN_G18,2.5 V,,,,,
tsw[17],Input,PIN_Y23,,,PIN_D21,,,,,,
tsw[16],Input,PIN_Y24,,,PIN_AA12,,,,,,
tsw[15],Input,PIN_AA22,,,PIN_J25,,,,,,
tsw[14],Input,PIN_AA23,,,PIN_F27,,,,,,
tsw[13],Input,PIN_AA24,,,PIN_E28,,,,,,
tsw[12],Input,PIN_AB23,,,PIN_F28,,,,,,
tsw[11],Input,PIN_AB24,,,PIN_G28,,,,,,
tsw[10],Input,PIN_AC24,,,PIN_K26,,,,,,
tsw[9],Input,PIN_AB25,,,PIN_P25,,,,,,
tsw[8],Input,PIN_AC25,,,PIN_E27,,,,,,
tsw[7],Input,PIN_AB26,,,PIN_D27,,,,,,
tsw[6],Input,PIN_AD26,,,PIN_F26,,,,,,
tsw[5],Input,PIN_AC26,,,PIN_D28,,,,,,
tsw[4],Input,PIN_AB27,,,PIN_H26,,,,,,
tsw[3],Input,PIN_AD27,,,PIN_H25,,,,,,
tsw[2],Input,PIN_AC27,,,PIN_E26,,,,,,
tsw[1],Input,PIN_AC28,,,PIN_N21,,,,,,
tsw[0],Input,PIN_AB28,,,PIN_P26,,,,,,
ub_n,Output,PIN_AC4,,,PIN_AF12,,,,,,
we_n,Output,PIN_AE8,,,PIN_P27,,,,,,
address_in[7],Unknown,PIN_AA22,5,B5_N2,,,,,,,
address_in[6],Unknown,PIN_AA23,5,B5_N2,,,,,,,
address_in[5],Unknown,PIN_AA24,5,B5_N2,,,,,,,
address_in[4],Unknown,PIN_AB23,5,B5_N2,,,,,,,
address_in[3],Unknown,PIN_AB24,5,B5_N2,,,,,,,
address_in[2],Unknown,PIN_AC24,5,B5_N2,,,,,,,
address_in[1],Unknown,PIN_AB25,5,B5_N1,,,,,,,
address_in[0],Unknown,PIN_AC25,5,B5_N2,,,,,,,
data_in[7],Unknown,PIN_AB26,5,B5_N1,,2.5 V,,,,,
data_in[6],Unknown,PIN_AD26,5,B5_N2,,2.5 V,,,,,
data_in[5],Unknown,PIN_AC26,5,B5_N2,,2.5 V,,,,,
data_in[4],Unknown,PIN_AB27,5,B5_N1,,2.5 V,,,,,
data_in[3],Unknown,PIN_AD27,5,B5_N2,,2.5 V,,,,,
data_in[2],Unknown,PIN_AC27,5,B5_N2,,2.5 V,,,,,
data_in[1],Unknown,PIN_AC28,5,B5_N2,,2.5 V,,,,,
data_in[0],Unknown,PIN_AB28,5,B5_N1,,2.5 V,,,,,
Segout[13],Unknown,PIN_U24,5,B5_N0,,2.5 V,,,,,
Segout[12],Unknown,PIN_U23,5,B5_N1,,2.5 V,,,,,
Segout[11],Unknown,PIN_W25,5,B5_N1,,2.5 V,,,,,
Segout[10],Unknown,PIN_W22,5,B5_N0,,2.5 V,,,,,
Segout[9],Unknown,PIN_W21,5,B5_N1,,2.5 V,,,,,
Segout[8],Unknown,PIN_Y22,5,B5_N0,,2.5 V,,,,,
Segout[7],Unknown,PIN_M24,6,B6_N2,,2.5 V,,,,,
Segout[6],Unknown,PIN_H22,6,B6_N0,,2.5 V,,,,,
Segout[5],Unknown,PIN_J22,6,B6_N0,,2.5 V,,,,,
Segout[4],Unknown,PIN_L25,6,B6_N1,,2.5 V,,,,,
Segout[3],Unknown,PIN_L26,6,B6_N1,,2.5 V,,,,,
Segout[2],Unknown,PIN_E17,7,B7_N2,,2.5 V,,,,,
Segout[1],Unknown,PIN_F22,7,B7_N0,,2.5 V,,,,,
Segout[0],Unknown,PIN_G18,7,B7_N2,,2.5 V,,,,,
wren,Unknown,PIN_R24,5,B5_N0,,,,,,,
address_in_sram[0],Unknown,PIN_AB7,3,B3_N1,,,,,,,
address_in_sram[1],Unknown,PIN_AD7,3,B3_N2,,,,,,,
address_in_sram[2],Unknown,PIN_AE7,3,B3_N1,,,,,,,
address_in_sram[3],Unknown,PIN_AC7,3,B3_N2,,,,,,,
address_in_sram[4],Unknown,PIN_AB6,2,B2_N2,,,,,,,
address_in_sram[5],Unknown,PIN_AE6,3,B3_N2,,,,,,,
address_in_sram[6],Unknown,PIN_AB5,2,B2_N2,,,,,,,
address_in_sram[7],Unknown,PIN_AC5,2,B2_N2,,,,,,,
data_in_sram[0],Unknown,PIN_AH3,3,B3_N2,,,,,,,
data_in_sram[1],Unknown,PIN_AF4,3,B3_N2,,,,,,,
data_in_sram[2],Unknown,PIN_AG4,3,B3_N2,,,,,,,
data_in_sram[3],Unknown,PIN_AH4,3,B3_N2,,,,,,,
data_in_sram[4],Unknown,PIN_AF6,3,B3_N2,,,,,,,
data_in_sram[5],Unknown,PIN_AG6,3,B3_N2,,,,,,,
data_in_sram[6],Unknown,PIN_AH6,3,B3_N2,,,,,,,
data_in_sram[7],Unknown,PIN_AF7,3,B3_N1,,,,,,,
wren_sram,Unknown,PIN_AE8,3,B3_N1,,,,,,,
hb_sram,Unknown,PIN_AC4,2,B2_N2,,,,,,,
lb_sram,Unknown,PIN_AD4,3,B3_N2,,,,,,,
oen_sram,Unknown,PIN_AD5,3,B3_N2,,,,,,,
hb,Unknown,PIN_M23,6,B6_N2,,,,,,,
lb,Unknown,PIN_M21,6,B6_N1,,,,,,,
oen,Unknown,PIN_N21,6,B6_N2,,,,,,,
cs,Unknown,PIN_Y23,5,B5_N2,,,,,,,
cs_sram,Unknown,PIN_AF8,3,B3_N1,,,,,,,
